38.65,0.057751,0.993266,0.040149,1403638577877820000,38.65
38.95,0.058218,0.993258,0.040149,1403638578177820000,38.95
39.25,0.058646,0.99326,0.040137,1403638578477820000,39.25
39.60,0.05898,0.993278,0.040079,1403638578827820000,39.60
39.90,0.059405,0.993276,0.040005,1403638579127820000,39.90
40.20,0.059882,0.993264,0.03992,1403638579427820000,40.20
40.50,0.060322,0.993258,0.039817,1403638579727820000,40.50
40.80,0.060816,0.993243,0.039703,1403638580027820000,40.80
41.40,0.061348,0.993219,0.039585,1403638580627820000,41.40
41.65,0.061944,0.993184,0.039473,1403638580877820000,41.65
42.10,0.062248,0.993212,0.039434,1403638581327820000,42.10
42.85,0.06256,0.993246,0.039503,1403638582077820000,42.85
43.15,0.062832,0.993272,0.039481,1403638582377820000,43.15
43.60,0.06296,0.993307,0.039396,1403638582827820000,43.60
45.10,0.062782,0.993398,0.039435,1403638584327820000,45.10
45.80,0.062503,0.993521,0.039724,1403638585027820000,45.80
46.70,0.062273,0.99362,0.039993,1403638585927820000,46.70
47.90,0.062048,0.993712,0.040243,1403638587127820000,47.90
48.20,0.061896,0.993786,0.040548,1403638587427820000,48.20
49.40,0.061791,0.993845,0.040825,1403638588627820000,49.40
49.70,0.061691,0.993903,0.041113,1403638588927820000,49.70
50.00,0.061584,0.993962,0.041429,1403638589227820000,50.00
50.30,0.061468,0.994024,0.041766,1403638589527820000,50.30
50.60,0.061395,0.994063,0.042044,1403638589827820000,50.60
52.10,0.061336,0.994098,0.04231,1403638591327820000,52.10
52.40,0.061305,0.994122,0.042538,1403638591627820000,52.40
52.75,0.061279,0.99414,0.042724,1403638591977820000,52.75
53.05,0.061252,0.994153,0.042865,1403638592277820000,53.05
53.35,0.061215,0.994161,0.04295,1403638592577820000,53.35
53.70,0.061188,0.994163,0.043007,1403638592927820000,53.70
54.00,0.06117,0.994163,0.043051,1403638593227820000,54.00
54.30,0.061134,0.994164,0.043072,1403638593527820000,54.30
54.60,0.061024,0.994172,0.043037,1403638593827820000,54.60
55.25,0.060889,0.994183,0.042986,1403638594477820000,55.25
55.55,0.060719,0.994195,0.042904,1403638594777820000,55.55
56.35,0.060548,0.994208,0.042828,1403638595577820000,56.35
56.75,0.06047,0.994235,0.043004,1403638595977820000,56.75
57.75,0.060479,0.994262,0.043304,1403638596977820000,57.75
58.05,0.060755,0.994278,0.043913,1403638597277820000,58.05
58.65,0.061401,0.994272,0.044877,1403638597877820000,58.65
59.25,0.062184,0.994256,0.045942,1403638598477820000,59.25
59.50,0.062595,0.994226,0.04641,1403638598727820000,59.50
59.80,0.062941,0.994192,0.046748,1403638599027820000,59.80
60.15,0.063237,0.994154,0.046974,1403638599377820000,60.15
60.55,0.0635,0.99411,0.047099,1403638599777820000,60.55
61.05,0.063788,0.994062,0.047203,1403638600277820000,61.05
61.40,0.064111,0.994008,0.047307,1403638600627820000,61.40
61.70,0.064492,0.993948,0.047427,1403638600927820000,61.70
62.00,0.064972,0.993878,0.047596,1403638601227820000,62.00
62.35,0.065595,0.993797,0.047861,1403638601577820000,62.35
62.70,0.065982,0.993739,0.047935,1403638601927820000,62.70
63.00,0.066027,0.993728,0.047806,1403638602227820000,63.00
64.30,0.065987,0.993738,0.04771,1403638603527820000,64.30
64.75,0.065833,0.993759,0.047578,1403638603977820000,64.75
66.15,0.065679,0.993777,0.047435,1403638605377820000,66.15
66.50,0.065558,0.993786,0.047281,1403638605727820000,66.50
66.85,0.065457,0.993793,0.04715,1403638606077820000,66.85
67.20,0.065441,0.993785,0.04701,1403638606427820000,67.20
67.90,0.065423,0.993778,0.046867,1403638607127820000,67.90
68.25,0.065407,0.993773,0.046727,1403638607477820000,68.25
68.60,0.065407,0.993769,0.0466,1403638607827820000,68.60
69.00,0.065428,0.993763,0.046485,1403638608227820000,69.00
69.35,0.065433,0.993759,0.04636,1403638608577820000,69.35
69.70,0.065394,0.993764,0.046234,1403638608927820000,69.70
70.05,0.065317,0.99378,0.046135,1403638609277820000,70.05
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
